		T98G G0				T98G Contact Inhibtion				U2OS-p16			
		E2F4		p130		E2F4		p130		E2F4		p130	
GENE 	Locuslink	P value	binding ratio	P value	binding ratio	P value	binding ratio	P value	binding ratio	P value	binding ratio	P value	binding ratio
BRIX	55299	0.00158414030141529	2.43220633626245	0.000340013319098276	5.18298647195753	0.0137546307136593	1.59302811578254	0.000878705278902214	2.44948262791378	0.00387270896258007	2.26149849509619	0.00775602852139207	3.38173143657084
BUB1B	701	0.000000121094801075472	6.19497516680805	0.000000989076533342015	9.35062647453835	0.0000211553911674267	4.67415212238734	0.000000872756900305305	4.59038241925285	0.00000123167171406369	8.06758309756773	0.000483589330766032	10.1226915754529
BUB3	9184	0.0161497896990004	1.752332194743	0.000937234356162775	3.32809240869637	0.000893874783602477	2.1082585561605	0.000409477430484584	2.39974178792899	0.000491421849705631	3.38904220779221	0.0040534461542544	3.83482894931689
C11orf10	746	0.000000356834099934922	6.64658056034731	0.00000271361154047245	7.84227399205798	0.0000000730605145271568	4.62036095770821	0.000628351284901352	5.03372656190092	0.00000352400594383351	7.3516283706465	0.000379262414697712	15.2116528765642
C12orf8	10961	0.00819462281550898	1.94430472743593	0.0173341235194815	2.11660285054401	0.00165795863112317	1.81169100899942	0.00557734000766996	1.96028229760498	0.00165772483780757	2.29220164887147	0.00513854875963071	3.24112055385354
C14orf106	55320	0.00000450490609393839	4.66239779613942	0.000025359430063987	6.23204642486889	0.000397737947903987	3.17702580695686	0.0000101330632429342	3.56069181570941	0.0000013490418645512	10.0883301443573	0.000424559831111448	12.6131912122059
C20orf172	79980	0.0000199708240585794	3.23668876985509	0.0000779057121376159	4.10292540645059	0.00000264283870721194	3.67622970824737	0.0000137847714785089	3.97596468746353	0.000333551893339501	3.15571824297586	0.000911421365463461	6.13896965399138
C20orf72	92667	0.0121716568734781	2.54750691323126	0.000793838208493991	4.49565411514426	0.00585007220502498	2.15570894559003	0.000191966451761449	2.59359268102848	0.00458056969880422	2.56376901559523	0.00217595144982841	4.09616901976972
C20orf77	58490	0.000665467196046543	2.48276138651041	0.000269850816498329	3.70553595534291	0.00152742642740644	2.1628144351301	0.000797744346882623	2.60087885902417	0.0028363387115734	2.3650571295158	0.00306018862422835	3.88856003258311
C21orf45	54069	0.0000912198731695124	2.81585321742629	0.00000391417737488631	6.27999410271891	0.0000641961001495161	2.64582777553439	0.000329995142371753	2.65298939554674	0.0000109539105909162	5.799459498859	0.000652106740342273	8.2165762405813
